Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol,Open,High,Low
06/15/20,3.30,3.29,-0.01,-0.23,3.30,3.30,"358,136.00",158853,3.29,3.30,3.26
06/12/20,3.30,3.30,0.00,0.08,3.30,3.30,"386,413.00",219907,3.30,3.33,3.28
06/11/20,3.30,3.30,0.03,1.07,3.30,3.30,"430,935.00",242444,3.26,3.31,3.25
06/10/20,3.27,3.26,-0.01,-0.38,3.27,3.27,"468,324.00",211578,3.27,3.28,3.24
06/09/20,3.27,3.28,-0.06,-1.87,3.27,3.28,"493,320.00",225243,3.32,3.34,3.27
06/08/20,3.33,3.34,0.02,0.75,3.33,3.34,"546,449.00",177801,3.34,3.35,3.31
06/05/20,3.33,3.31,0.02,0.68,3.32,3.33,"576,294.00",191222,3.29,3.33,3.28
06/04/20,3.29,3.29,0.05,1.54,3.29,3.29,"590,075.00",138984,3.24,3.30,3.24
06/03/20,3.24,3.24,0.00,-0.08,3.24,3.25,"588,861.00",114178,3.24,3.25,3.21
06/02/20,3.24,3.24,0.01,0.31,3.24,3.24,"590,244.00",117927,3.24,3.25,3.22
06/01/20,3.24,3.23,-0.02,-0.77,3.24,3.24,"591,317.00",135430,3.26,3.28,3.19
05/29/20,3.26,3.26,-0.02,-0.53,3.26,3.26,"590,095.00",170657,3.28,3.30,3.23
05/28/20,3.28,3.28,0.07,2.18,3.27,3.28,"601,194.00",225308,3.20,3.31,3.20
05/27/20,3.21,3.21,0.02,0.47,3.21,3.21,"600,423.00",63042,3.20,3.22,3.19
05/26/20,3.20,3.19,0.01,0.31,3.20,3.20,"607,590.00",132427,3.17,3.23,3.17
05/22/20,3.18,3.18,0.00,0.08,3.17,3.18,"608,385.00",86246,3.18,3.19,3.16
05/21/20,3.18,3.18,-0.02,-0.55,3.18,3.18,"604,915.00",115119,3.19,3.20,3.16
05/20/20,3.19,3.20,-0.02,-0.54,3.19,3.20,"601,312.00",154473,3.21,3.22,3.17
05/19/20,3.21,3.21,0.00,0.16,3.21,3.22,"600,778.00",126375,3.21,3.26,3.21
05/18/20,3.21,3.21,0.02,0.47,3.21,3.21,"603,507.00",99372,3.20,3.22,3.18
05/15/20,3.20,3.19,0.02,0.55,3.19,3.20,"610,180.00",101614,3.18,3.21,3.17
05/14/20,3.17,3.18,-0.01,-0.24,3.17,3.18,"609,926.00",107147,3.18,3.19,3.16
05/13/20,3.18,3.18,-0.04,-1.24,3.18,3.18,"612,235.00",120194,3.22,3.22,3.18
05/12/20,3.22,3.22,0.04,1.18,3.22,3.23,"601,281.00",177591,3.18,3.24,3.15
05/11/20,3.18,3.19,-0.01,-0.23,3.18,3.18,"602,887.00",97781,3.21,3.23,3.17
05/08/20,3.20,3.19,0.01,0.39,3.20,3.20,"606,915.00",111275,3.18,3.23,3.17
05/07/20,3.18,3.18,0.04,1.19,3.18,3.19,"614,588.00",140403,3.14,3.21,3.14
05/06/20,3.14,3.14,-0.03,-0.87,3.14,3.14,"619,868.00",108455,3.18,3.18,3.13
05/05/20,3.17,3.17,0.02,0.48,3.17,3.18,"623,707.00",105838,3.15,3.19,3.14
05/04/20,3.16,3.16,-0.03,-0.94,3.16,3.16,"627,946.00",104063,3.17,3.17,3.12
05/01/20,3.18,3.19,-0.02,-0.47,3.18,3.18,"636,917.00",97847,3.20,3.20,3.16
04/30/20,3.19,3.20,0.06,1.75,3.19,3.19,"644,172.00",176650,3.15,3.22,3.13
04/29/20,3.15,3.15,0.02,0.80,3.15,3.15,"634,969.00",230233,3.12,3.18,3.09
04/28/20,3.12,3.12,-0.01,-0.40,3.12,3.12,"628,223.00",199148,3.13,3.17,3.11
04/27/20,3.13,3.13,-0.10,-3.02,3.13,3.13,"614,622.00",175170,3.22,3.23,3.12
04/24/20,3.24,3.23,-0.03,-0.92,3.23,3.24,"600,766.00",143376,3.26,3.28,3.19
04/23/20,3.27,3.26,0.01,0.38,3.26,3.27,"600,171.00",193359,3.25,3.31,3.22
04/22/20,3.25,3.25,0.08,2.36,3.25,3.25,"582,173.00",184119,3.18,3.28,3.16
04/21/20,3.18,3.17,0.03,0.95,3.18,3.18,"565,156.00",214162,3.22,3.23,3.09
04/20/20,3.14,3.14,-0.08,-2.48,3.14,3.14,"236,285.00",150677,3.23,3.23,3.14
04/17/20,3.23,3.22,0.03,0.78,3.23,3.23,"244,235.00",99361,3.20,3.26,3.20
04/16/20,3.19,3.20,0.00,0.16,3.19,3.19,"262,717.00",136583,3.19,3.23,3.18
04/15/20,3.19,3.19,-0.07,-2.07,3.19,3.20,"275,538.00",161437,3.26,3.27,3.18
04/14/20,3.26,3.26,-0.06,-1.66,3.26,3.26,"312,523.00",191905,3.31,3.32,3.26
04/13/20,3.31,3.32,0.00,-0.08,3.31,3.31,"331,556.00",147086,3.32,3.34,3.27
04/09/20,3.32,3.32,0.02,0.53,3.32,3.33,"371,812.00",169665,3.31,3.34,3.28
04/08/20,3.31,3.30,-0.02,-0.45,3.31,3.31,"401,740.00",151312,3.32,3.34,3.28
04/07/20,3.33,3.32,0.04,1.14,3.32,3.33,"423,498.00",157368,3.28,3.36,3.28
04/06/20,3.28,3.28,-0.03,-0.91,3.28,3.28,"430,332.00",111044,3.30,3.32,3.26
04/03/20,3.31,3.31,-0.03,-0.82,3.30,3.31,"435,662.00",158652,3.35,3.39,3.28
04/02/20,3.34,3.34,-0.01,-0.37,3.34,3.34,"444,324.00",151692,3.35,3.43,3.33
04/01/20,3.35,3.35,-0.06,-1.76,3.35,3.35,"447,139.00",151929,3.41,3.43,3.34
03/31/20,3.42,3.41,0.00,-0.15,3.42,3.42,"453,633.00",208191,3.42,3.45,3.34
03/30/20,3.42,3.41,-0.05,-1.37,3.42,3.42,"456,635.00",92080,3.43,3.47,3.40
03/27/20,3.46,3.46,-0.03,-0.79,3.46,3.46,"468,297.00",114028,3.49,3.50,3.43
03/26/20,3.49,3.49,0.00,0.07,3.49,3.49,"474,162.00",113530,3.48,3.49,3.44
03/25/20,3.50,3.49,0.01,0.36,3.50,3.50,"482,009.00",118826,3.48,3.53,3.46
03/24/20,3.48,3.47,0.04,1.09,3.48,3.48,"490,678.00",126658,3.44,3.51,3.38
03/23/20,3.42,3.44,0.00,-0.07,3.42,3.42,"494,423.00",114729,3.40,3.46,3.38
03/20/20,3.43,3.44,-0.02,-0.51,3.43,3.43,"498,392.00",189068,3.47,3.57,3.42
03/19/20,3.45,3.46,0.10,3.06,3.45,3.45,"520,668.00",223252,3.37,3.55,3.37
03/18/20,3.37,3.35,-0.09,-2.54,3.36,3.37,"533,638.00",229884,3.44,3.45,3.32
03/17/20,3.43,3.44,-0.11,-3.03,3.43,3.43,"537,944.00",219215,3.55,3.57,3.43
03/16/20,3.56,3.55,-0.11,-3.01,3.56,3.56,"552,326.00",188791,3.63,3.68,3.54
03/13/20,3.67,3.66,0.00,0.00,3.66,3.67,"558,970.00",191029,3.65,3.72,3.64
03/12/20,3.65,3.66,-0.09,-2.34,3.65,3.65,"567,722.00",190190,3.73,3.73,3.65
03/11/20,3.74,3.75,-0.03,-0.79,3.74,3.74,"574,128.00",115643,3.77,3.78,3.72
03/10/20,3.78,3.78,0.05,1.27,3.78,3.78,"578,558.00",141727,3.75,3.80,3.74
03/09/20,3.73,3.73,-0.03,-0.86,3.73,3.74,"579,172.00",239558,3.70,3.75,3.67
03/06/20,3.76,3.76,-0.06,-1.51,3.76,3.77,"590,316.00",150157,3.81,3.83,3.75
03/05/20,3.82,3.82,-0.03,-0.84,3.82,3.82,"607,135.00",159898,3.84,3.85,3.80
03/04/20,3.85,3.85,0.04,0.98,3.85,3.85,"610,247.00",170361,3.81,3.87,3.79
03/03/20,3.81,3.81,0.06,1.53,3.80,3.81,"615,834.00",202096,3.77,3.85,3.76
03/02/20,3.76,3.76,0.07,1.97,3.76,3.76,"625,949.00",147782,3.68,3.76,3.67
02/28/20,3.68,3.68,0.00,0.07,3.67,3.67,"633,568.00",288213,3.68,3.70,3.66
02/27/20,3.68,3.68,-0.06,-1.74,3.68,3.68,"615,191.00",273794,3.74,3.74,3.66
02/26/20,3.74,3.75,-0.02,-0.53,3.74,3.75,"603,602.00",318592,3.76,3.78,3.73
02/25/20,3.77,3.77,0.04,1.14,3.76,3.77,"588,446.00",136869,3.77,3.79,3.75
02/24/20,3.73,3.72,-0.05,-1.26,3.73,3.73,"234,632.00",170528,3.76,3.76,3.70
02/21/20,3.77,3.77,-0.02,-0.40,3.76,3.77,"283,461.00",169068,3.78,3.81,3.76
02/20/20,3.79,3.79,-0.02,-0.53,3.78,3.79,"310,310.00",173142,3.81,3.81,3.78
02/19/20,3.80,3.81,-0.02,-0.65,3.80,3.81,"343,238.00",172265,3.82,3.83,3.79
02/18/20,3.83,3.83,0.05,1.39,3.82,3.83,"362,747.00",215110,3.79,3.83,3.78
02/14/20,3.78,3.78,-0.02,-0.46,3.78,3.78,"399,288.00",216864,3.80,3.82,3.76
02/13/20,3.79,3.80,-0.04,-0.91,3.79,3.80,"428,574.00",202459,3.82,3.83,3.79
02/12/20,3.83,3.83,0.03,0.86,3.83,3.83,"462,058.00",241461,3.80,3.84,3.78
02/11/20,3.80,3.80,-0.02,-0.52,3.80,3.80,"498,332.00",200407,3.81,3.82,3.78
02/10/20,3.82,3.82,-0.02,-0.46,3.82,3.82,"548,847.00",219017,3.83,3.84,3.79
02/07/20,3.83,3.84,0.04,1.12,3.83,3.83,"597,277.00",256721,3.80,3.85,3.80
02/06/20,3.80,3.79,-0.02,-0.39,3.80,3.81,"612,882.00",191891,3.80,3.82,3.76
02/05/20,3.81,3.81,-0.01,-0.39,3.81,3.81,"619,660.00",122103,3.82,3.83,3.80
02/04/20,3.82,3.82,0.03,0.92,3.82,3.82,"623,809.00",176002,3.78,3.84,3.78
02/03/20,3.79,3.79,-0.02,-0.66,3.79,3.79,"630,791.00",216443,3.81,3.82,3.77
01/31/20,3.82,3.81,0.02,0.46,3.82,3.82,"636,920.00",151805,3.82,3.83,3.79
01/30/20,3.80,3.80,-0.05,-1.24,3.80,3.80,"643,254.00",160206,3.85,3.85,3.79
01/29/20,3.85,3.84,-0.02,-0.58,3.85,3.85,"643,474.00",136811,3.86,3.88,3.83
01/28/20,3.85,3.87,0.06,1.58,3.85,3.86,"665,231.00",243266,3.83,3.87,3.79
01/27/20,3.81,3.81,-0.07,-1.74,3.81,3.81,"677,285.00",264471,3.84,3.85,3.77
01/24/20,3.87,3.87,-0.06,-1.65,3.87,3.87,"678,615.00",196121,3.93,3.93,3.87
01/23/20,3.94,3.94,0.05,1.29,3.94,3.94,"683,470.00",256298,3.89,3.94,3.88
01/22/20,3.89,3.89,0.01,0.32,3.89,3.89,"686,635.00",155603,3.88,3.91,3.87
01/21/20,3.88,3.88,-0.02,-0.45,3.88,3.88,"707,498.00",182958,3.89,3.89,3.84
01/17/20,3.90,3.89,0.14,3.66,3.89,3.90,"745,179.00",293121,3.77,3.90,3.77
01/16/20,3.76,3.76,-0.12,-3.10,3.76,3.76,"729,081.00",230557,3.87,3.88,3.75
01/15/20,3.87,3.88,-0.02,-0.39,3.87,3.87,"734,647.00",141478,3.89,3.90,3.87
01/14/20,3.89,3.89,0.00,-0.13,3.89,3.89,"736,225.00",115957,3.89,3.91,3.88
01/13/20,3.90,3.90,0.04,0.97,3.89,3.90,"737,141.00",139994,3.87,3.90,3.86
01/10/20,3.87,3.86,0.02,0.65,3.87,3.87,"733,377.00",226659,3.83,3.87,3.77
01/09/20,3.83,3.83,-0.01,-0.26,3.83,3.84,"733,669.00",130937,3.84,3.87,3.82
01/08/20,3.85,3.84,0.00,-0.07,3.85,3.85,"731,545.00",135523,3.84,3.86,3.82
01/07/20,3.85,3.85,0.00,-0.06,3.85,3.85,"737,047.00",93541,3.85,3.86,3.84
01/06/20,3.85,3.85,-0.02,-0.45,3.85,3.85,"739,243.00",112130,3.86,3.88,3.83
01/03/20,3.86,3.87,-0.05,-1.28,3.86,3.86,"740,797.00",125931,3.92,3.92,3.86
01/02/20,3.92,3.92,0.04,0.97,3.91,3.92,"740,345.00",103987,3.88,3.92,3.87
12/31/19,3.87,3.88,0.00,-0.13,3.87,3.88,"745,443.00",85103,3.88,3.90,3.86
12/30/19,3.89,3.88,-0.02,-0.45,3.88,3.89,"746,556.00",123528,3.89,3.92,3.87
12/27/19,3.90,3.90,0.02,0.39,3.90,3.90,"748,797.00",85213,3.88,3.91,3.88
12/26/19,3.89,3.89,0.01,0.26,3.88,3.89,"749,455.00",49930,3.88,3.89,3.87
12/24/19,3.88,3.88,-0.01,-0.32,3.88,3.88,"751,311.00",50416,3.89,3.89,3.87
12/23/19,3.89,3.89,0.01,0.26,3.89,3.89,"753,738.00",82257,3.88,3.90,3.87
12/20/19,3.88,3.88,0.01,0.32,3.88,3.88,"754,264.00",85326,3.87,3.90,3.86
12/19/19,3.86,3.87,0.00,-0.13,3.86,3.87,"765,428.00",99129,3.87,3.89,3.85
12/18/19,3.87,3.87,-0.03,-0.77,3.87,3.87,"778,095.00",125534,3.89,3.90,3.86
12/17/19,3.90,3.90,0.02,0.52,3.89,3.90,"783,847.00",118236,3.88,3.91,3.86
12/16/19,3.88,3.88,0.07,1.84,3.88,3.88,"788,955.00",180896,3.84,3.90,3.83
12/13/19,3.81,3.81,0.03,0.86,3.81,3.81,"788,475.00",230831,3.81,3.86,3.78
12/12/19,3.76,3.78,0.06,1.75,3.76,3.76,"796,957.00",171860,3.72,3.76,3.71
12/11/19,3.72,3.71,-0.06,-1.53,3.71,3.72,"791,606.00",128564,3.77,3.77,3.71
12/10/19,3.77,3.77,0.01,0.33,3.76,3.77,"790,678.00",98921,3.76,3.78,3.75
12/09/19,3.76,3.76,-0.01,-0.27,3.76,3.76,"788,026.00",87766,3.76,3.78,3.75
12/06/19,3.77,3.77,0.00,0.00,3.76,3.77,"785,743.00",101238,3.77,3.80,3.75
12/05/19,3.76,3.77,-0.02,-0.46,3.76,3.77,"784,501.00",103730,3.78,3.80,3.76
12/04/19,3.79,3.79,-0.03,-0.72,3.78,3.79,"783,621.00",132483,3.81,3.83,3.77
12/03/19,3.82,3.81,-0.01,-0.20,3.81,3.82,"787,323.00",132389,3.82,3.85,3.80
12/02/19,3.82,3.82,0.01,0.20,3.82,3.82,"788,353.00",155304,3.82,3.85,3.79
11/29/19,3.81,3.81,0.08,2.14,3.81,3.81,"781,182.00",139171,3.75,3.82,3.74
11/27/19,3.74,3.73,-0.05,-1.32,3.74,3.74,"747,223.00",237107,3.78,3.80,3.73
11/26/19,3.78,3.78,0.08,2.09,3.78,3.78,"713,847.00",247043,3.80,3.81,3.78
11/25/19,3.70,3.71,0.02,0.47,3.70,3.70,"263,005.00",199301,3.69,3.73,3.68
11/22/19,3.69,3.69,0.00,0.07,3.68,3.69,"370,345.00",228112,3.68,3.70,3.68
11/21/19,3.69,3.69,0.02,0.48,3.68,3.69,"401,867.00",158701,3.67,3.70,3.66
11/20/19,3.66,3.67,-0.03,-0.88,3.66,3.67,"429,707.00",297024,3.70,3.71,3.66
11/19/19,3.70,3.70,0.02,0.61,3.70,3.70,"446,608.00",202015,3.68,3.73,3.68
11/18/19,3.68,3.68,-0.03,-0.94,3.68,3.68,"481,164.00",206268,3.71,3.72,3.68
11/15/19,3.71,3.71,-0.04,-1.20,3.71,3.71,"493,957.00",140175,3.76,3.77,3.71
11/14/19,3.75,3.76,0.00,0.13,3.75,3.76,"513,727.00",144893,3.75,3.78,3.75
11/13/19,3.76,3.75,-0.02,-0.66,3.76,3.76,"532,155.00",195982,3.77,3.78,3.75
11/12/19,3.78,3.78,0.04,1.21,3.78,3.78,"570,355.00",220513,3.74,3.78,3.73
11/11/19,3.73,3.73,-0.04,-1.06,3.73,3.74,"602,250.00",211215,3.76,3.77,3.73
11/08/19,3.77,3.77,0.02,0.53,3.77,3.77,"621,743.00",343769,3.75,3.84,3.73
11/07/19,3.75,3.75,-0.04,-0.92,3.75,3.75,"655,494.00",219147,3.79,3.80,3.74
11/06/19,3.79,3.79,-0.03,-0.79,3.79,3.79,"663,358.00",185339,3.82,3.85,3.78
11/05/19,3.82,3.82,-0.02,-0.39,3.82,3.82,"672,307.00",157127,3.83,3.85,3.81
11/04/19,3.84,3.83,-0.06,-1.54,3.84,3.84,"678,041.00",145373,3.87,3.88,3.83
11/01/19,3.89,3.89,-0.01,-0.19,3.88,3.89,"674,573.00",151943,3.89,3.92,3.86
10/31/19,3.90,3.90,-0.01,-0.19,3.90,3.90,"687,850.00",176193,3.90,3.91,3.85
10/30/19,3.91,3.91,0.05,1.17,3.91,3.91,"701,621.00",177034,3.86,3.91,3.85
10/29/19,3.86,3.86,0.02,0.59,3.86,3.86,"713,365.00",153732,3.84,3.88,3.82
10/28/19,3.84,3.84,-0.03,-0.71,3.84,3.84,"718,912.00",122790,3.86,3.87,3.83
10/25/19,3.88,3.87,0.00,0.00,3.88,3.88,"731,514.00",131677,3.87,3.90,3.86
10/24/19,3.87,3.87,-0.01,-0.26,3.87,3.87,"736,537.00",130664,3.89,3.91,3.85
10/23/19,3.89,3.88,0.00,-0.06,3.89,3.89,"742,277.00",117561,3.88,3.90,3.84
10/22/19,3.88,3.88,0.01,0.19,3.88,3.88,"742,492.00",136694,3.87,3.93,3.85
10/21/19,3.87,3.87,-0.04,-0.96,3.87,3.87,"745,877.00",150187,3.90,3.94,3.87
10/18/19,3.91,3.91,-0.04,-0.95,3.90,3.91,"739,371.00",122010,3.94,3.96,3.90
10/17/19,3.94,3.95,0.03,0.77,3.94,3.94,"738,846.00",141532,3.92,3.97,3.92
10/16/19,3.92,3.92,-0.02,-0.38,3.92,3.92,"735,788.00",139675,3.92,3.93,3.88
10/15/19,3.93,3.93,-0.04,-1.13,3.93,3.93,"751,871.00",143675,3.97,3.99,3.93
10/14/19,3.97,3.98,0.00,0.00,3.97,3.97,"769,922.00",170713,4.01,4.03,3.93
10/11/19,3.98,3.98,0.17,4.60,3.98,3.98,"783,974.00",272436,3.81,3.99,3.81
10/10/19,3.80,3.80,-0.14,-3.55,3.80,3.80,"801,918.00",297046,3.93,3.95,3.78
10/09/19,3.93,3.94,-0.02,-0.38,3.93,3.94,"821,544.00",140853,3.96,3.97,3.93
10/08/19,3.95,3.96,0.09,2.26,3.95,3.95,"813,540.00",200460,3.88,3.97,3.86
10/07/19,3.87,3.87,0.02,0.58,3.87,3.87,"817,787.00",100421,3.88,3.88,3.85
10/04/19,3.85,3.85,-0.04,-1.03,3.85,3.85,"813,673.00",116336,3.88,3.89,3.84
10/03/19,3.88,3.89,0.01,0.26,3.88,3.89,"822,892.00",125489,3.87,3.91,3.86
10/02/19,3.88,3.88,-0.05,-1.21,3.88,3.88,"838,955.00",158921,3.91,3.92,3.86
10/01/19,3.91,3.93,0.04,1.16,3.91,3.91,"857,355.00",227065,3.87,3.93,3.85
09/30/19,3.87,3.88,0.17,4.44,3.87,3.87,"878,698.00",337247,3.72,3.88,3.72
09/27/19,3.72,3.72,-0.01,-0.27,3.72,3.72,"876,952.00",90796,3.71,3.73,3.70
09/26/19,3.72,3.73,-0.02,-0.47,3.72,3.72,"877,249.00",175419,3.74,3.76,3.68
09/25/19,3.74,3.74,0.00,-0.13,3.74,3.75,"878,373.00",119189,3.75,3.78,3.72
09/24/19,3.76,3.75,0.02,0.40,3.76,3.76,"883,571.00",144294,3.72,3.76,3.70
09/23/19,3.73,3.73,0.02,0.67,3.73,3.73,"882,598.00",100443,3.71,3.75,3.71
09/20/19,3.71,3.71,-0.02,-0.54,3.71,3.71,"890,569.00",132998,3.73,3.75,3.70
09/19/19,3.73,3.73,0.02,0.40,3.73,3.73,"895,777.00",117069,3.72,3.74,3.70
09/18/19,3.72,3.71,0.03,0.88,3.72,3.72,"900,346.00",126832,3.68,3.72,3.66
09/17/19,3.69,3.68,-0.06,-1.60,3.68,3.69,"891,179.00",154625,3.74,3.74,3.66
09/16/19,3.75,3.74,0.05,1.42,3.75,3.75,"901,537.00",133444,3.72,3.75,3.68
09/13/19,3.69,3.69,0.02,0.41,3.69,3.69,"909,862.00",145836,3.68,3.72,3.66
09/12/19,3.68,3.67,0.07,2.01,3.67,3.68,"922,430.00",293125,3.61,3.68,3.53
09/11/19,3.60,3.60,-0.02,-0.41,3.60,3.60,"923,433.00",177888,3.63,3.64,3.57
09/10/19,3.62,3.62,0.07,2.05,3.62,3.62,"913,907.00",164888,3.56,3.63,3.56
09/09/19,3.54,3.54,-0.01,-0.35,3.54,3.54,"905,742.00",161790,3.55,3.58,3.52
09/06/19,3.56,3.56,-0.03,-0.91,3.55,3.56,"903,830.00",157815,3.60,3.60,3.53
09/05/19,3.60,3.59,0.00,0.07,3.59,3.60,"904,223.00",142572,3.59,3.63,3.58
09/04/19,3.58,3.59,-0.02,-0.69,3.58,3.58,"907,274.00",204307,3.61,3.63,3.57
09/03/19,3.61,3.61,-0.09,-2.37,3.61,3.61,"904,354.00",204262,3.70,3.70,3.61
08/30/19,3.69,3.70,-0.02,-0.40,3.69,3.69,"907,269.00",162934,3.71,3.75,3.69
08/29/19,3.71,3.71,0.00,0.07,3.70,3.71,"887,681.00",255872,3.72,3.77,3.70
08/28/19,3.72,3.71,0.05,1.30,3.72,3.72,"874,894.00",303332,3.66,3.74,3.64
08/27/19,3.66,3.66,-0.02,-0.54,3.66,3.66,"868,920.00",167220,3.68,3.69,3.66
08/26/19,3.68,3.68,0.00,0.14,3.68,3.69,"857,810.00",170617,3.67,3.71,3.66
08/23/19,3.67,3.68,-0.03,-0.88,3.67,3.67,"851,522.00",231913,3.71,3.72,3.66
08/22/19,3.71,3.71,0.01,0.20,3.71,3.71,"841,483.00",171823,3.71,3.75,3.68
08/21/19,3.71,3.70,0.02,0.41,3.71,3.71,"828,104.00",199565,3.69,3.72,3.66
08/20/19,3.69,3.69,-0.06,-1.54,3.69,3.69,"813,190.00",203541,3.76,3.80,3.68
08/19/19,3.75,3.75,-0.06,-1.64,3.75,3.75,"808,795.00",146028,3.77,3.78,3.73
08/16/19,3.81,3.81,0.10,2.63,3.81,3.81,"798,060.00",186510,3.72,3.81,3.72
08/15/19,3.72,3.71,0.01,0.20,3.71,3.72,"790,738.00",187487,3.72,3.75,3.69
08/14/19,3.71,3.70,-0.06,-1.66,3.71,3.71,"785,508.00",301199,3.77,3.81,3.70
08/13/19,3.77,3.77,-0.16,-4.14,3.77,3.77,"779,562.00",498116,3.88,3.88,3.76
08/12/19,3.93,3.93,-0.25,-5.98,3.93,3.93,"783,830.00",387022,4.17,4.18,3.93
08/09/19,4.17,4.18,0.00,-0.12,4.17,4.18,"780,290.00",255682,4.18,4.25,4.15
08/08/19,4.19,4.18,0.04,1.03,4.19,4.19,"773,551.00",246009,4.15,4.20,4.13
08/07/19,4.15,4.14,0.01,0.36,4.15,4.15,"761,158.00",215638,4.13,4.15,4.09
08/06/19,4.13,4.13,-0.02,-0.54,4.13,4.13,"757,080.00",183494,4.15,4.17,4.09
08/05/19,4.15,4.15,0.05,1.28,4.15,4.15,"756,966.00",191120,4.10,4.16,4.01
08/02/19,4.10,4.10,0.00,-0.12,4.09,4.10,"760,206.00",148262,4.04,4.10,4.03
08/01/19,4.01,4.10,0.00,0.00,4.01,4.01,"756,032.00",235995,4.11,4.12,3.97
07/31/19,4.10,4.10,-0.11,-2.61,4.10,4.10,"749,966.00",226838,4.21,4.24,4.10
07/30/19,4.21,4.21,-0.06,-1.41,4.20,4.21,"752,387.00",134937,4.27,4.27,4.20
07/29/19,4.27,4.27,0.02,0.59,4.27,4.27,"748,644.00",115290,4.24,4.30,4.22
07/26/19,4.24,4.25,-0.03,-0.70,4.24,4.25,"742,463.00",119490,4.27,4.28,4.24
07/25/19,4.27,4.28,-0.03,-0.75,4.27,4.27,"750,812.00",193054,4.31,4.33,4.27
07/24/19,4.30,4.31,-0.01,-0.17,4.29,4.30,"745,363.00",121099,4.31,4.37,4.28
07/23/19,4.31,4.32,0.05,1.11,4.31,4.31,"750,719.00",175274,4.29,4.33,4.24
07/22/19,4.27,4.27,-0.09,-2.07,4.27,4.27,"753,774.00",140656,4.36,4.37,4.26
07/19/19,4.37,4.36,0.06,1.40,4.37,4.37,"752,214.00",144722,4.31,4.39,4.29
